APPROACH TYPE,TOPIC_LEVEL_1 / ROLE_NAME,CATEGORY-2,CATEGORY-3,CATEGORY-4,CATEGORY-5,CATEGORY-6
topic-based,analyst,business domain analysis,financial analysis,financial performance analysis,revenue analysis,revenue recognition analysis
topic-based,analyst,business domain analysis,financial analysis,financial performance analysis,revenue analysis,revenue growth analysis
topic-based,analyst,business domain analysis,financial analysis,financial performance analysis,revenue analysis,revenue mix analysis
topic-based,analyst,business domain analysis,financial analysis,financial performance analysis,revenue analysis,recurring revenue analysis
topic-based,analyst,business domain analysis,financial analysis,financial performance analysis,profitability analysis,gross margin analysis
topic-based,analyst,business domain analysis,financial analysis,financial performance analysis,profitability analysis,operating margin analysis
topic-based,analyst,business domain analysis,financial analysis,financial performance analysis,profitability analysis,net profit analysis
topic-based,analyst,business domain analysis,financial analysis,financial performance analysis,profitability analysis,product profitability
topic-based,analyst,business domain analysis,financial analysis,financial performance analysis,expense analysis,cost structure analysis
topic-based,analyst,business domain analysis,financial analysis,financial performance analysis,expense analysis,operating expense analysis
topic-based,analyst,business domain analysis,financial analysis,financial performance analysis,expense analysis,expense trend analysis
topic-based,analyst,business domain analysis,financial analysis,financial performance analysis,expense analysis,cost driver analysis
topic-based,analyst,business domain analysis,financial analysis,budget analysis & variance,budget performance,budget vs actual analysis
topic-based,analyst,business domain analysis,financial analysis,budget analysis & variance,budget performance,variance investigation
topic-based,analyst,business domain analysis,financial analysis,budget analysis & variance,budget performance,performance indicators
topic-based,analyst,business domain analysis,financial analysis,budget analysis & variance,variance reporting,monthly variance reports
topic-based,analyst,business domain analysis,financial analysis,budget analysis & variance,variance reporting,quarterly reviews
topic-based,analyst,business domain analysis,financial analysis,budget analysis & variance,variance reporting,annual budget analysis
topic-based,analyst,business domain analysis,financial analysis,budget analysis & variance,forecast analysis,rolling forecasts
topic-based,analyst,business domain analysis,financial analysis,budget analysis & variance,forecast analysis,forecast accuracy
topic-based,analyst,business domain analysis,financial analysis,budget analysis & variance,forecast analysis,forecast adjustments
topic-based,analyst,business domain analysis,financial analysis,investment analysis,capital investment,roi analysis
topic-based,analyst,business domain analysis,financial analysis,investment analysis,capital investment,payback period
topic-based,analyst,business domain analysis,financial analysis,investment analysis,capital investment,net present value
topic-based,analyst,business domain analysis,financial analysis,investment analysis,capital investment,internal rate of return
topic-based,analyst,business domain analysis,financial analysis,investment analysis,project evaluation,feasibility analysis
topic-based,analyst,business domain analysis,financial analysis,investment analysis,project evaluation,risk assessment
topic-based,analyst,business domain analysis,financial analysis,investment analysis,project evaluation,scenario analysis
topic-based,analyst,business domain analysis,financial analysis,investment analysis,portfolio analysis,investment portfolio review
topic-based,analyst,business domain analysis,financial analysis,investment analysis,portfolio analysis,asset allocation analysis
topic-based,analyst,business domain analysis,financial analysis,investment analysis,portfolio analysis,performance attribution
topic-based,analyst,business domain analysis,operations analysis,process efficiency analysis,workflow analysis,process mapping
topic-based,analyst,business domain analysis,operations analysis,process efficiency analysis,workflow analysis,bottleneck identification
topic-based,analyst,business domain analysis,operations analysis,process efficiency analysis,workflow analysis,cycle time analysis
topic-based,analyst,business domain analysis,operations analysis,process efficiency analysis,workflow analysis,process optimization
topic-based,analyst,business domain analysis,operations analysis,process efficiency analysis,efficiency metrics,throughput analysis
topic-based,analyst,business domain analysis,operations analysis,process efficiency analysis,efficiency metrics,utilization rates
topic-based,analyst,business domain analysis,operations analysis,process efficiency analysis,efficiency metrics,productivity measures
topic-based,analyst,business domain analysis,operations analysis,process efficiency analysis,performance benchmarking,industry benchmarks
topic-based,analyst,business domain analysis,operations analysis,process efficiency analysis,performance benchmarking,best practice analysis
topic-based,analyst,business domain analysis,operations analysis,process efficiency analysis,performance benchmarking,competitive analysis
topic-based,analyst,business domain analysis,operations analysis,capacity analysis,resource capacity,human resource capacity
topic-based,analyst,business domain analysis,operations analysis,capacity analysis,resource capacity,equipment capacity
topic-based,analyst,business domain analysis,operations analysis,capacity analysis,resource capacity,facility capacity
topic-based,analyst,business domain analysis,operations analysis,capacity analysis,capacity planning,demand forecasting
topic-based,analyst,business domain analysis,operations analysis,capacity analysis,capacity planning,capacity requirements
topic-based,analyst,business domain analysis,operations analysis,capacity analysis,capacity planning,expansion planning
topic-based,analyst,business domain analysis,operations analysis,capacity analysis,utilization analysis,asset utilization
topic-based,analyst,business domain analysis,operations analysis,capacity analysis,utilization analysis,resource utilization
topic-based,analyst,business domain analysis,operations analysis,capacity analysis,utilization analysis,efficiency gaps
topic-based,analyst,analytical problem solving,business problem identification,problem definition,problem scoping,problem boundaries
topic-based,analyst,analytical problem solving,business problem identification,problem definition,problem scoping,problem scale
topic-based,analyst,analytical problem solving,business problem identification,problem definition,problem scoping,problem complexity
topic-based,analyst,analytical problem solving,business problem identification,problem definition,problem scoping,problem context
topic-based,analyst,analytical problem solving,business problem identification,problem definition,problem statement,clear problem statement
topic-based,analyst,analytical problem solving,business problem identification,problem definition,problem statement,problem objectives
topic-based,analyst,analytical problem solving,business problem identification,problem definition,problem statement,success criteria
topic-based,analyst,analytical problem solving,business problem identification,problem definition,problem statement,measurable outcomes
topic-based,analyst,analytical problem solving,business problem identification,stakeholder needs assessment,stakeholder identification,primary stakeholders
topic-based,analyst,analytical problem solving,business problem identification,stakeholder needs assessment,stakeholder identification,secondary stakeholders
topic-based,analyst,analytical problem solving,business problem identification,stakeholder needs assessment,stakeholder identification,stakeholder influence
topic-based,analyst,analytical problem solving,business problem identification,stakeholder needs assessment,needs analysis,information needs
topic-based,analyst,analytical problem solving,business problem identification,stakeholder needs assessment,needs analysis,decision support needs
topic-based,analyst,analytical problem solving,business problem identification,stakeholder needs assessment,needs analysis,reporting requirements
topic-based,analyst,analytical problem solving,business problem identification,stakeholder needs assessment,requirements documentation,functional requirements
topic-based,analyst,analytical problem solving,business problem identification,stakeholder needs assessment,requirements documentation,non-functional requirements
topic-based,analyst,analytical problem solving,business problem identification,stakeholder needs assessment,requirements documentation,requirements validation
topic-based,analyst,analytical problem solving,hypothesis development,hypothesis formation,initial hypothesis,problem-solution hypothesis
topic-based,analyst,analytical problem solving,hypothesis development,hypothesis formation,initial hypothesis,causal hypothesis
topic-based,analyst,analytical problem solving,hypothesis development,hypothesis formation,initial hypothesis,predictive hypothesis
topic-based,analyst,analytical problem solving,hypothesis development,hypothesis formation,hypothesis refinement,hypothesis testing
topic-based,analyst,analytical problem solving,hypothesis development,hypothesis formation,hypothesis refinement,hypothesis modification
topic-based,analyst,analytical problem solving,hypothesis development,hypothesis formation,hypothesis refinement,alternative development
topic-based,analyst,analytical problem solving,hypothesis development,assumption testing,assumption identification,critical assumptions
topic-based,analyst,analytical problem solving,hypothesis development,assumption testing,assumption identification,underlying assumptions
topic-based,analyst,analytical problem solving,hypothesis development,assumption testing,assumption identification,risk assumptions
topic-based,analyst,analytical problem solving,hypothesis development,assumption testing,validation methods,data-driven validation
topic-based,analyst,analytical problem solving,hypothesis development,assumption testing,validation methods,expert validation
topic-based,analyst,analytical problem solving,hypothesis development,assumption testing,validation methods,market validation
topic-based,analyst,data analysis & interpretation,exploratory data analysis,data profiling,data structure analysis,variable types
topic-based,analyst,data analysis & interpretation,exploratory data analysis,data profiling,data structure analysis,data relationships
topic-based,analyst,data analysis & interpretation,exploratory data analysis,data profiling,data structure analysis,data hierarchy
topic-based,analyst,data analysis & interpretation,exploratory data analysis,data profiling,data quality assessment,missing values analysis
