,,,,,,,
,,,,,,,
,CATEGORY-1,CATEGORY-2,CATEGORY-3,CATEGORY-4,CATEGORY-5,CATEGORY-6,CATEGORY-7
,MARKETING,Digital Marketing,Social Media Marketing,Strategy & Planning,Goal Setting & KPI Definition,"Aligning Social KPIs with Business Objectives (Awareness, Leads, Sales)",
,MARKETING,Digital Marketing,Social Media Marketing,Strategy & Planning,Target Audience & Persona Development,Mapping Personas to Social Platforms,
,MARKETING,Digital Marketing,Social Media Marketing,Strategy & Planning,Competitive Analysis,Share of Voice (SOV) Analysis,
,MARKETING,Digital Marketing,Social Media Marketing,Strategy & Planning,Competitive Analysis,Content & Engagement Benchmarking,
,MARKETING,Digital Marketing,Social Media Marketing,Strategy & Planning,Channel Selection & Mission,Defining the Purpose for Each Platform,
,MARKETING,Digital Marketing,Social Media Marketing,Strategy & Planning,Brand Voice & Tone Guidelines,Creating a Social Media Style Guide,
,MARKETING,Digital Marketing,Social Media Marketing,Content & Campaign Management,Content Strategy,Content Pillar & Theme Development,
,MARKETING,Digital Marketing,Social Media Marketing,Content & Campaign Management,Content Strategy,Content Curation vs. Creation Mix,
,MARKETING,Digital Marketing,Social Media Marketing,Content & Campaign Management,Content Creation,Graphic Design,
,MARKETING,Digital Marketing,Social Media Marketing,Content & Campaign Management,Content Creation,Video Production,"Short-Form Video (Reels, TikToks, Shorts)"
,MARKETING,Digital Marketing,Social Media Marketing,Content & Campaign Management,Content Creation,Video Production,Long-Form Video (YouTube)
,MARKETING,Digital Marketing,Social Media Marketing,Content & Campaign Management,Content Creation,Copywriting for Social Media,
,MARKETING,Digital Marketing,Social Media Marketing,Content & Campaign Management,Editorial Calendar & Scheduling,Content Cadence & Frequency Planning,
,MARKETING,Digital Marketing,Social Media Marketing,Content & Campaign Management,Editorial Calendar & Scheduling,Using Scheduling Tools,
,MARKETING,Digital Marketing,Social Media Marketing,Content & Campaign Management,Campaign Execution,Integrated Marketing Campaign Support,
,MARKETING,Digital Marketing,Social Media Marketing,Content & Campaign Management,Campaign Execution,User-Generated Content (UGC) Campaigns,
,MARKETING,Digital Marketing,Social Media Marketing,Community Management,Engagement Strategy,Comment & Direct Message Response Protocol,
,MARKETING,Digital Marketing,Social Media Marketing,Community Management,Engagement Strategy,Proactive Engagement & Conversation Starting,
,MARKETING,Digital Marketing,Social Media Marketing,Community Management,Social Listening,Brand Mention & Keyword Monitoring,
,MARKETING,Digital Marketing,Social Media Marketing,Community Management,Social Listening,Sentiment Analysis,
,MARKETING,Digital Marketing,Social Media Marketing,Community Management,Social Listening,Trend Identification & Tracking,
,MARKETING,Digital Marketing,Social Media Marketing,Community Management,Influencer & Creator Marketing,Influencer Identification & Vetting,
,MARKETING,Digital Marketing,Social Media Marketing,Community Management,Influencer & Creator Marketing,Outreach & Campaign Negotiation,
,MARKETING,Digital Marketing,Social Media Marketing,Community Management,Influencer & Creator Marketing,Performance Tracking & ROI Measurement,
,MARKETING,Digital Marketing,Social Media Marketing,Paid Social Advertising,Platform Ad Management,Facebook & Instagram Ads,
,MARKETING,Digital Marketing,Social Media Marketing,Paid Social Advertising,Platform Ad Management,LinkedIn Ads,
